2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:09 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:09 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - === DEEPGRAM TRANSCRIPT RECEIVED ===
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:10 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:10 - INFO - Sent 1366 bytes to Deepgram
